,id,name,state,address,lat,lng
0,4.0,"Alma, AL",AL,,,
1,,"Auburn Hills, AL",AL,,,
2,,"Birmingham, AL",AL,,,
3,28.0,Colorado schools,CO,,39.0,-105.54722199999999
4,29.0,Cameron Peak,CO,,40.62477,-105.894772
5,40.0, Kansas State University,,,,
6,42.0, Kappa Alpha Order,KS,,,
7,45.0," Norwich, CT",CT,,,
8,46.0," New London, CT",CT,,,
9,49.0,"george county, MS",MS,,,
10,50.0," Hancock county, MS",MS,,,
11,51.0," Pearl River, MS",MS,,,
12,52.0," Stone, MS",MS,,,
13,53.0," Jackson county, MS",MS,,,
14,55.0,New York City,NY,,,
15,86.0,Kansas City,KS,,,
